Source,Target,Label
59561,0,2020-10-07T16:15:50.973Z
59561,0,2020-10-07T14:49:05.573Z
0,37166,2020-10-07T15:43:22.767Z
59561,644036,2020-10-05T16:31:13.57Z
644036,656212,2020-10-05T16:43:25.72Z
644036,59561,2020-10-05T16:58:49.647Z
644036,1860617,2020-10-05T19:42:54.273Z
644036,769452,2020-10-06T11:35:02.453Z
644036,1440116,2020-10-06T14:45:29.157Z
644036,1860617,2020-10-06T16:39:58Z
59561,1622856,2020-10-05T15:19:10.27Z
1622856,59561,2020-10-05T15:28:02.513Z
1622856,0,2020-10-05T16:08:35.257Z
59561,521899,2020-10-05T17:24:56.117Z
521899,59561,2020-10-05T17:29:42.787Z
521899,2745910,2020-10-05T19:17:58.3Z
59561,1614257,2020-10-05T15:00:34.99Z
59561,1440116,2020-10-05T15:55:52.08Z
59561,2781854,2020-10-05T15:53:39.99Z
59561,4940231,2020-10-06T19:35:02.45Z
59561,5325169,2020-10-05T22:05:18.96Z
59561,456596,2020-10-05T16:27:08.627Z
456596,37166,2020-10-05T16:55:58.737Z
456596,59561,2020-10-05T17:08:55.787Z
456596,37166,2020-10-05T17:10:17.833Z
456596,456596,2020-10-05T18:50:23.613Z
59561,2686172,2020-10-06T15:19:50.31Z
59561,5897331,2020-10-06T15:09:08.823Z
59561,769452,2020-10-06T11:36:32.19Z
59561,769452,2020-10-06T11:34:16.363Z
769452,3616012,2020-10-06T16:25:37.613Z
59561,1860617,2020-10-05T16:02:40.43Z
1860617,59561,2020-10-05T16:22:33.197Z
1860617,1860617,2020-10-05T16:47:27.373Z
5659204,113660,2020-09-19T06:26:04.6Z
113660,214989,2020-09-19T06:52:30.11Z
113660,0,2020-09-19T07:12:20.327Z
113660,761268,2020-09-19T10:08:18.477Z
113660,83633,2020-09-19T22:38:53.053Z
113660,5264912,2020-09-20T02:11:14.227Z
113660,5659204,2020-09-23T01:19:11.26Z
5659204,5264912,2020-09-19T03:07:43.817Z
5264912,4928806,2020-09-19T04:58:19.593Z
5264912,5264912,2020-09-19T07:13:21.07Z
5264912,0,2020-09-19T18:46:01.3Z
5264912,3355848,2020-09-20T00:53:23.43Z
5264912,5264912,2020-09-20T02:14:02.38Z
5659204,5399510,2020-09-27T05:45:29.88Z
5659204,2191934,2020-09-19T12:41:32.067Z
2191934,5659204,2020-09-23T01:19:19.697Z
2191934,5264912,2020-09-23T03:00:24.507Z
2191934,5264912,2020-09-23T03:02:00.937Z
2191934,4287302,2020-09-24T10:52:43.687Z
5659204,548996,2020-09-19T07:01:08.33Z
548996,190923,2020-09-19T18:16:27.797Z
548996,5659204,2020-09-23T01:22:20.017Z
5659204,113660,2020-09-18T21:33:49.157Z
113660,5659204,2020-09-18T21:34:48.86Z
113660,2578660,2020-09-19T12:51:30.433Z
5659204,942701,2020-09-19T18:54:27.637Z
5659204,4576966,2020-09-23T09:47:09.857Z
4576966,5264912,2020-09-23T13:10:55.443Z
5659204,1968272,2020-09-18T21:15:26.547Z
5659204,3952061,2020-10-06T23:16:47.217Z
5659204,5720483,2020-10-03T12:16:01.797Z
5659204,5568746,2020-09-30T15:09:42.753Z
5659204,4629590,2020-09-26T14:41:19.033Z
5659204,4576966,2020-09-24T15:27:34.46Z
5659204,2593251,2020-09-19T06:25:03.47Z
59561,644036,2020-09-11T15:59:49.403Z
644036,59561,2020-09-11T16:22:11.01Z
59561,4338270,2020-09-12T14:31:06.24Z
59561,862519,2020-09-21T19:28:16.48Z
862519,59561,2020-09-21T20:15:45.36Z
59561,5729704,2020-09-11T07:27:40.227Z
59561,3446727,2020-09-11T07:25:15.817Z
59561,114978,2020-09-11T04:52:07.117Z
114978,5309,2020-09-11T07:47:15.77Z
59561,5399510,2020-09-28T05:31:19.833Z
59561,4287302,2020-09-24T10:46:06.93Z
4287302,761268,2020-09-24T11:37:28.887Z
4287302,4287302,2020-09-24T11:56:05.377Z
59561,83633,2020-09-18T20:45:36.183Z
59561,306452,2020-09-12T01:36:19.473Z
59561,4940231,2020-09-28T15:15:20.667Z
59561,4940231,2020-09-28T15:13:50.307Z
59561,3298475,2020-09-27T09:08:28.337Z
59561,4038609,2020-09-16T19:06:14.047Z
59561,3451735,2020-09-11T20:26:23.767Z
3451735,59561,2020-09-11T20:37:51.527Z
59561,0,2020-10-07T02:47:23.43Z
59561,0,2020-10-03T08:19:02.487Z
59561,0,2020-09-28T15:14:34.62Z
59561,0,2020-09-28T15:14:25.593Z
995397,5924744,2020-10-10T12:39:57.837Z
995397,4928806,2020-10-08T02:40:07.98Z
995397,3546073,2020-10-01T07:34:38.453Z
995397,5779494,2020-09-15T08:39:53.723Z
995397,5778273,2020-09-15T04:18:50.307Z
995397,382386,2020-09-14T18:27:18.167Z
995397,5258814,2020-09-14T12:29:25.493Z
995397,5630044,2020-09-12T09:53:26.593Z
317344,6557309,2021-02-04T07:06:19.013Z
317344,3944866,2020-12-08T16:56:38.393Z
317344,2490236,2020-10-09T04:17:41.87Z
317344,113660,2020-10-08T12:49:03.137Z
317344,172860,2020-10-11T11:37:04.71Z
317344,5873554,2020-10-11T08:54:14.82Z
317344,3684937,2020-10-10T17:58:08.163Z
317344,3394758,2020-10-10T09:25:53.227Z
